Ticket_Subject,Ticket_Description,Product_Purchased,Ticket_Channel,Ticket_Type,Customer_Age,Ticket_Priority
Não funciona,quero falar,Controle Xbox,Chat,Cancelamento,58,Média
Defeito no Micro-ondas - home office,Micro-ondas com problema.,Micro-ondas,Chat,Cancelamento,42,Média
Suporte: Câmera GoPro Hero,O Câmera GoPro Hero caiu e a tela quebrou parcialmente. Ainda funciona mas está inutilizável profissionalmente. É minha principal ferramenta de trabalho. Preciso saber sobre cobertura de garantia.,Câmera GoPro Hero,Email,Cancelamento,38,Baixa
Micro-ondas travado - trabalho parado,O Micro-ondas parou de funcionar completamente há dois dias. Perdi todos os alimentos armazenados. Já tentei reiniciar mas o problema persiste. Preciso de atendimento urgente pois tenho crianças...,Micro-ondas,Chat,Solicitação de reembolso,69,Alta
iPhone 14 não liga - prazo em risco,"O iPhone 14 emitindo ruído alto e vibração intensa, completamente fora do comportamento normal esperado.",iPhone 14,Telefone,Problema Técnico,34,Urgente
Emergência: Máquina de Lavar não funciona,O Máquina de Lavar não conecta à internet após a última atualização automática de software recebida.,Máquina de Lavar,Chat,Cancelamento,75,Alta
Roteador Wi-Fi apresenta defeito,Roteador Wi-Fi com defeito grave.,Roteador Wi-Fi,Telefone,Solicitação de reembolso,84,Alta
Problema no iPhone 13 - reunião amanhã,iPhone 13 não funciona mais.,iPhone 13,Telefone,Dúvida,39,Média
Problema,alguem me ajuda,Aspirador Dyson,Telefone,Cancelamento,73,Média
Suporte: Fone Bluetooth JBL,O Fone Bluetooth JBL com som completamente distorcido e alto. Incomoda os vizinhos e é insuportável.,Fone Bluetooth JBL,Email,Reclamação,45,Média
Reclamação,tá tudo quebrado,Câmera GoPro Hero,Chat,Solicitação de reembolso,80,Baixa
Falha no Monitor LG 27,Meu Monitor LG 27 não liga desde ontem à noite. Todos os arquivos de trabalho estão salvos nele e tenho entrega amanhã cedo. Tentei outra tomada e outro cabo sem qualquer resultado.,Monitor LG 27,Email,Cancelamento,28,Baixa
PlayStation 5 com comportamento estranho,O PlayStation 5 desligando sozinho várias vezes ao dia sem nenhum motivo aparente ou justificável.,PlayStation 5,Chat,Solicitação de reembolso,54,Média
Micro-ondas tela quebrada - urgente,O Micro-ondas não liga na tomada mas funciona normalmente na bateria interna. Falha elétrica.,Micro-ondas,Telefone,Reclamação,51,Alta
Micro-ondas não liga - prazo em risco,O Micro-ondas com consumo de energia absurdamente alto. Minha conta de luz praticamente dobrou.,Micro-ondas,Chat,Dúvida,68,Média
URGENTE - Aquecedor a Gás,Aparelho não liga.,Aquecedor a Gás,Telefone,Cancelamento,48,Alta
Airfryer Philips com problema técnico,O Airfryer Philips com bateria não durando mais de vinte minutos por carga. Produto com seis meses de uso. Calibrei seguindo todas as instruções do manual oficial mas sem melhora nenhuma.,Airfryer Philips,Chat,Reclamação,27,Alta
Dúvida técnica Fone Bluetooth JBL,O Fone Bluetooth JBL com defeito grave desde a compra não liga mais e está dentro da garantia. Já tentei todos os procedimentos descritos. Solicito visita técnica pois é essencial na rotina.,Fone Bluetooth JBL,Telefone,Reclamação,66,Alta
Reclamação,ja liguei,Câmera Canon EOS,Email,Solicitação de reembolso,33,Baixa
Dúvida sobre Controle Xbox,O Controle Xbox superaquece e desliga automaticamente após poucos minutos de uso. Já entrei em contato pelo chat mas sem solução. Solicito troca imediata por produto novo sem defeito.,Controle Xbox,Chat,Cancelamento,28,Baixa
Reclamação,odeio isso,Nintendo Switch,Email,Problema Técnico,82,Média
Defeito crítico no Bebedouro,O Bebedouro com falha total inesperada. Preciso de assistência técnica com urgência máxima possível.,Bebedouro,Email,Dúvida,34,Média
Problema no Micro-ondas - reunião amanhã,O Micro-ondas não liga na tomada mas funciona normalmente na bateria interna. Falha elétrica.,Micro-ondas,Email,Cancelamento,70,Média
Defeito no iPad Pro - home office,Comprei o iPad Pro há quatro meses e ele travou completamente. A garantia está válida. Trabalho em home office e perco produtividade a cada hora. Não consigo acessar meus arquivos.,iPad Pro,Chat,Problema Técnico,46,Alta
Preciso de ajuda,ajuda urgente,Notebook Lenovo,Telefone,Problema Técnico,84,Média
Info sobre Smartwatch Garmin,O Smartwatch Garmin apresenta vazamento de líquido pelo fundo. Risco de acidente doméstico sério. Preciso de ajuda.,Smartwatch Garmin,Email,Solicitação de reembolso,19,Baixa
Problema no Samsung Galaxy S23 - reunião amanhã,"O Samsung Galaxy S23 superaquece intensamente ao ser ligado, ficando quente em menos de cinco minutos de uso. Desliguei por segurança. Tem apenas dois meses de uso e é completamente anormal.",Samsung Galaxy S23,Telefone,Problema Técnico,74,Urgente
Atendimento,nao entendo nada,Geladeira,Chat,Cancelamento,22,Baixa
Como usar Controle Xbox,O Controle Xbox desliga sozinho várias vezes por dia sem motivo aparente. Verifiquei a instalação elétrica e o problema é do aparelho. Tentei redefinir para padrão de fábrica sem sucesso.,Controle Xbox,Email,Problema Técnico,67,Alta
Problema no MacBook Air - reunião amanhã,MacBook Air muito lento.,MacBook Air,Email,Dúvida,76,Média
Defeito crítico no Aquecedor a Gás,O Aquecedor a Gás chegou completamente amassado pelos correios com estrutura danificada. Ao ligar pela primeira vez não funciona corretamente. Quero reembolso integral ou troca por produto novo.,Aquecedor a Gás,Telefone,Problema Técnico,51,Urgente
Reparo: Monitor LG 27,O Monitor LG 27 emite ruído alto durante funcionamento normal. O técnico da loja disse ser normal mas claramente não é. Outros usuários relatam o mesmo defeito nos fóruns do produto.,Monitor LG 27,Chat,Cancelamento,34,Média
Defeito no Smart TV Samsung 55,O Smart TV Samsung 55 emite ruído alto durante funcionamento normal. O técnico da loja disse ser normal mas claramente não é. Outros usuários relatam o mesmo defeito nos fóruns do produto.,Smart TV Samsung 55,Email,Cancelamento,52,Baixa
Defeito no Notebook Lenovo - home office,O Notebook Lenovo não liga após queda leve. Ainda está dentro do prazo de garantia do fabricante.,Notebook Lenovo,Telefone,Reclamação,75,Urgente
Dúvida sobre Câmera Canon EOS,O Câmera Canon EOS não aquece mais como antes. Parou depois de anos funcionando perfeitamente bem.,Câmera Canon EOS,Email,Dúvida,75,Baixa
Samsung Galaxy S23 quebrou - sem produtividade,Faísca na tomada.,Samsung Galaxy S23,Telefone,Problema Técnico,47,Urgente
Emergência: Purificador de Água não funciona,O Purificador de Água apresentou cheiro de queimado forte. Desliguei imediatamente por questão de segurança da família.,Purificador de Água,Telefone,Cancelamento,56,Alta
Manutenção Monitor LG 27,O Monitor LG 27 descarrega em menos de uma hora de uso leve. Comprei há cinco meses. Já calibrei a bateria conforme o manual mas o problema se manteve exatamente igual.,Monitor LG 27,Telefone,Reclamação,72,Alta
Defeito no Samsung Galaxy S23 - home office,O Samsung Galaxy S23 com som completamente distorcido e alto. Incomoda os vizinhos e é insuportável.,Samsung Galaxy S23,Email,Dúvida,23,Baixa
Defeito no Impressora HP,Impressora HP offline.,Impressora HP,Telefone,Problema Técnico,28,Alta
Impressora HP com problema técnico,O Impressora HP com defeito na tela que fica piscando constantemente sem parar durante todo o uso.,Impressora HP,Email,Solicitação de reembolso,70,Média
Assistência Smart TV Samsung 55,O Smart TV Samsung 55 parou de funcionar completamente há dois dias. Perdi todos os alimentos armazenados. Já tentei reiniciar mas o problema persiste. Preciso de atendimento urgente pois tenho...,Smart TV Samsung 55,Telefone,Problema Técnico,67,Urgente
Freezer com cheiro de queimado,O Freezer emite ruído alto durante funcionamento normal. O técnico da loja disse ser normal mas claramente não é. Outros usuários relatam o mesmo defeito nos fóruns do produto.,Freezer,Chat,Solicitação de reembolso,84,Alta
Airfryer Philips apresenta defeito,O Airfryer Philips superaquece e desliga automaticamente após poucos minutos de uso. Já entrei em contato pelo chat mas sem solução. Solicito troca imediata por produto novo sem defeito.,Airfryer Philips,Email,Cancelamento,84,Média
Dúvida sobre Amazon Kindle,Amazon Kindle não gela nada.,Amazon Kindle,Chat,Problema Técnico,77,Alta
Manutenção Impressora HP,O Impressora HP parou de gelar após a última queda de energia. Tenho remédios importantes armazenados.,Impressora HP,Email,Problema Técnico,24,Alta
Defeito,entregaram errado,Geladeira,Email,Cancelamento,80,Baixa
Defeito,produto pessimo,Controle Xbox,Email,Dúvida,43,Média
Emergência: Máquina de Lavar não funciona,O Máquina de Lavar emite ruído alto durante funcionamento normal. O técnico da loja disse ser normal mas claramente não é. Outros usuários relatam o mesmo defeito nos fóruns do produto.,Máquina de Lavar,Chat,Problema Técnico,32,Urgente
Urgente: Bebedouro com risco de incêndio,Bebedouro apagado.,Bebedouro,Chat,Cancelamento,24,Alta
Não funciona,aaaaaaa,Fogão,Telefone,Problema Técnico,52,Baixa
Manutenção Caixa de Som JBL,O Caixa de Som JBL superaquece e desliga automaticamente após poucos minutos de uso. Já entrei em contato pelo chat mas sem solução. Solicito troca imediata por produto novo sem defeito.,Caixa de Som JBL,Chat,Dúvida,72,Média
Samsung Galaxy S23 tela quebrada - urgente,Fui cobrado indevidamente pela manutenção do Samsung Galaxy S23 que foi cancelada há mais de dois meses.,Samsung Galaxy S23,Telefone,Dúvida,56,Média
Reparo: Smart TV LG 50,O Smart TV LG 50 com bateria descarregando muito mais rápido do que o esperado e prometido.,Smart TV LG 50,Email,Solicitação de reembolso,65,Média
Garantia do Controle Xbox,Barulho estranho.,Controle Xbox,Email,Cancelamento,21,Baixa
Assistência Roteador Wi-Fi,Roteador Wi-Fi com falha.,Roteador Wi-Fi,Telefone,Problema Técnico,25,Alta
Garantia do Câmera Canon EOS,O Câmera Canon EOS com consumo de energia absurdamente alto. Minha conta de luz praticamente dobrou.,Câmera Canon EOS,Telefone,Cancelamento,62,Média
Manutenção Monitor LG 27,Monitor LG 27 não gela nada.,Monitor LG 27,Email,Dúvida,79,Baixa
Bebedouro com cheiro de queimado,Meu Bebedouro não reconhece mais nenhum dos acessórios oficiais conectados a ele. Já testei acessórios diferentes e o problema persiste em todos. É minha ferramenta principal de trabalho.,Bebedouro,Email,Reclamação,56,Alta
Micro-ondas não liga - prazo em risco,O Micro-ondas não lê mais nenhum tipo de mídia inserida nele. Totalmente inoperante.,Micro-ondas,Chat,Cancelamento,37,Média
Info sobre Smartwatch Garmin,O Smartwatch Garmin com imagem desfocada e distorcida mesmo após todos os ajustes manuais possíveis.,Smartwatch Garmin,Email,Dúvida,66,Baixa
Computador Desktop tela quebrada - urgente,Computador Desktop sem imagem nenhuma.,Computador Desktop,Email,Reclamação,79,Alta
Smartwatch Garmin com falha leve,O Smartwatch Garmin com botão físico principal travado. Não responde a nenhuma tentativa de acionamento.,Smartwatch Garmin,Chat,Problema Técnico,51,Alta
Problema no Notebook Lenovo - reunião amanhã,Recebi o Notebook Lenovo com embalagem danificada e produto com riscos visíveis. Ao ligar apresentou erro de inicialização logo de cara. Solicito troca pois chegou com defeito de fábrica.,Notebook Lenovo,Chat,Problema Técnico,79,Urgente
Falha no Tablet Samsung,O Tablet Samsung descarrega em menos de uma hora de uso leve. Comprei há cinco meses. Já calibrei a bateria conforme o manual mas o problema se manteve exatamente igual.,Tablet Samsung,Email,Cancelamento,18,Baixa
Info sobre Smartwatch Garmin,O Smartwatch Garmin emite ruído alto durante funcionamento normal. O técnico da loja disse ser normal mas claramente não é. Outros usuários relatam o mesmo defeito nos fóruns do produto.,Smartwatch Garmin,Email,Cancelamento,47,Baixa
Urgente,preciso de ajuda,Lavadora a Pressão,Telefone,Problema Técnico,67,Média
Defeito crítico no Fogão,O Fogão com porta de conexão USB danificada. Nenhum dispositivo conecta mais corretamente.,Fogão,Chat,Dúvida,42,Média
Problema no iPhone 13 - reunião amanhã,O iPhone 13 com controle remoto sem nenhuma resposta mesmo com pilha nova recém instalada.,iPhone 13,Chat,Cancelamento,44,Média
Falha no Tablet Samsung,O Tablet Samsung com som completamente distorcido e alto. Incomoda os vizinhos e é insuportável.,Tablet Samsung,Telefone,Solicitação de reembolso,59,Alta
Geladeira parou - urgente,O Geladeira com imagem desfocada e distorcida mesmo após todos os ajustes manuais possíveis.,Geladeira,Email,Reclamação,48,Alta
Help,nao resolve,Lavadora a Pressão,Chat,Problema Técnico,68,Baixa
Defeito no Micro-ondas - home office,O Micro-ondas parou de funcionar completamente. Tenho crianças em casa que dependem do equipamento diariamente.,Micro-ondas,Chat,Reclamação,25,Alta
MacBook Pro travado - trabalho parado,"O MacBook Pro superaquece intensamente ao ser ligado, ficando quente em menos de cinco minutos de uso. Desliguei por segurança. Tem apenas dois meses de uso e é completamente anormal.",MacBook Pro,Chat,Problema Técnico,18,Alta
Preciso de ajuda,produto pessimo,Purificador de Água,Email,Problema Técnico,25,Baixa
Problema grave no Aquecedor a Gás,O Aquecedor a Gás parou do nada sem nenhuma queda ou impacto visível. Já fiz todos os procedimentos indicados no manual sem qualquer resultado positivo. Preciso de visita técnica domiciliar.,Aquecedor a Gás,Chat,Dúvida,76,Alta
Preciso de ajuda,urgente!!,iPhone 13,Email,Dúvida,83,Média
Samsung Galaxy S23 não liga - prazo em risco,Samsung Galaxy S23 reiniciando sempre.,Samsung Galaxy S23,Telefone,Dúvida,83,Alta
Dúvida técnica Câmera GoPro Hero,O Câmera GoPro Hero não acessa mais a internet mesmo estando conectado normalmente à rede Wi-Fi.,Câmera GoPro Hero,Email,Cancelamento,24,Baixa
Urgente: Lavadora a Pressão com risco de incêndio,Lavadora a Pressão não aquece.,Lavadora a Pressão,Telefone,Reclamação,27,Urgente
iPhone 13 tela quebrada - urgente,iPhone 13 não gela nada.,iPhone 13,Chat,Cancelamento,77,Alta
Help,parou do nada,Smart TV LG 50,Email,Solicitação de reembolso,58,Baixa
Lavadora a Pressão com faísca elétrica,O Lavadora a Pressão parou de funcionar completamente. Tenho crianças em casa que dependem do equipamento diariamente.,Lavadora a Pressão,Email,Dúvida,35,Média
Help,produto pessimo,Smart TV LG 50,Telefone,Problema Técnico,85,Média
Defeito,odeio isso,MacBook Air,Telefone,Cancelamento,26,Baixa
Problema no Notebook Dell XPS - reunião amanhã,O Notebook Dell XPS travou durante apresentação importante e não inicializa mais. Tentei todos os procedimentos de recuperação sem sucesso. Todos os meus projetos estão salvos e preciso dos dados.,Notebook Dell XPS,Chat,Problema Técnico,73,Urgente
Soundbar Sony com defeito intermitente,Soundbar Sony vazando.,Soundbar Sony,Chat,Solicitação de reembolso,26,Média
Soundbar Sony não funciona,O Soundbar Sony parou de gelar após oscilação de energia elétrica. Já aguardei quatro horas para religar conforme orientação mas continua sem gelar. Tenho insulina que exige refrigeração.,Soundbar Sony,Chat,Reclamação,36,Alta
Suporte: Controle Xbox,Controle Xbox sem resposta.,Controle Xbox,Email,Dúvida,47,Baixa
Lavadora a Pressão com cheiro de queimado,O Lavadora a Pressão parou de gelar após a última queda de energia. Tenho remédios importantes armazenados.,Lavadora a Pressão,Email,Dúvida,37,Média
URGENTE - Bebedouro,Comprei o Bebedouro como presente e ao abrir a caixa já estava com tela trincada internamente. A loja recusa troca. Preciso de laudo técnico do fabricante para comprovar defeito.,Bebedouro,Telefone,Dúvida,48,Alta
iPhone 13 não liga - prazo em risco,O iPhone 13 não conecta à internet após a última atualização automática de software recebida.,iPhone 13,Email,Dúvida,59,Baixa
Assistência Smart TV Samsung 55,Smart TV Samsung 55 não aquece.,Smart TV Samsung 55,Telefone,Dúvida,71,Média
Airfryer Philips com defeito intermitente,O Airfryer Philips chegou completamente amassado pelos correios com estrutura danificada. Ao ligar pela primeira vez não funciona corretamente. Quero reembolso integral ou troca por produto novo.,Airfryer Philips,Email,Solicitação de reembolso,49,Média
Fone Bluetooth JBL com falha leve,O Fone Bluetooth JBL desligando sozinho várias vezes ao dia sem nenhum motivo aparente ou justificável.,Fone Bluetooth JBL,Chat,Problema Técnico,32,Alta
Samsung Galaxy S23 travado - trabalho parado,O Samsung Galaxy S23 não aquece mais como antes. Parou depois de anos funcionando perfeitamente bem.,Samsung Galaxy S23,Telefone,Cancelamento,50,Alta
Como usar Câmera GoPro Hero,Comprei o Câmera GoPro Hero há quatro meses e ele travou completamente. A garantia está válida. Trabalho em home office e perco produtividade a cada hora. Não consigo acessar meus arquivos.,Câmera GoPro Hero,Telefone,Dúvida,81,Média
Aspirador Dyson com defeito intermitente,O Aspirador Dyson com conexão Wi-Fi caindo a cada poucos minutos de uso contínuo.,Aspirador Dyson,Chat,Solicitação de reembolso,25,Média
Problema no iPhone 14 - reunião amanhã,"O iPhone 14 apresenta cheiro de queimado e faíscas visíveis na parte traseira. Desliguei por segurança. É risco real de incêndio e preciso de técnico hoje, pois não consigo usar o aparelho.",iPhone 14,Email,Dúvida,79,Média
iPhone 14 tela quebrada - urgente,O iPhone 14 parou no meio do ciclo de uso e não reinicia de forma alguma agora.,iPhone 14,Email,Dúvida,30,Baixa
Problema grave no Fogão,O Fogão parou de gelar após a última queda de energia. Tenho remédios importantes armazenados.,Fogão,Email,Solicitação de reembolso,67,Alta
iPhone 14 quebrou - sem produtividade,O iPhone 14 emite faíscas quando é plugado na tomada elétrica. Desliguei imediatamente por risco de incêndio. Tenho filhos pequenos em casa e preciso de atendimento emergencial hoje.,iPhone 14,Telefone,Reclamação,68,Urgente
Fogão causando risco,"O Fogão não conecta ao Wi-Fi de jeito algum. Reinstalei o sistema, resetei o roteador e fiz o pareamento novamente sem êxito. Meu trabalho depende totalmente dessa conectividade.",Fogão,Telefone,Reclamação,59,Urgente
Reclamação,ruim demais,Aquecedor a Gás,Chat,Problema Técnico,40,Baixa
Garantia do Câmera Canon EOS,O Câmera Canon EOS com consumo de energia absurdamente alto. Minha conta de luz praticamente dobrou.,Câmera Canon EOS,Chat,Cancelamento,77,Média
Info sobre Nintendo Switch,O Nintendo Switch com som completamente distorcido e alto. Incomoda os vizinhos e é insuportável.,Nintendo Switch,Email,Dúvida,43,Baixa
Reclamação,entregaram errado,Câmera Canon EOS,Chat,Solicitação de reembolso,26,Média
iPhone 13 travado - trabalho parado,O iPhone 13 está superaquecendo e desligando automaticamente após poucos minutos de uso normal.,iPhone 13,Email,Solicitação de reembolso,28,Média
Dúvida sobre PlayStation 5,O PlayStation 5 apresenta tela piscando de forma intermitente e às vezes apaga totalmente. Comprei há dois meses e já está com defeito grave. Quero acionar a garantia para substituição.,PlayStation 5,Email,Cancelamento,76,Baixa
Como usar Câmera GoPro Hero,Tela piscando forte.,Câmera GoPro Hero,Chat,Solicitação de reembolso,68,Média
Bebedouro com faísca elétrica,O Bebedouro apresenta tela piscando de forma intermitente e às vezes apaga totalmente. Comprei há dois meses e já está com defeito grave. Quero acionar a garantia para substituição.,Bebedouro,Telefone,Solicitação de reembolso,55,Alta
Defeito no iPad Pro - home office,Descarga muito rápida.,iPad Pro,Telefone,Problema Técnico,23,Urgente
Problema no Computador Desktop - reunião amanhã,O Computador Desktop está fazendo barulho de estalos e a temperatura interna não é mantida corretamente. Não consegui agendamento na assistência. Tenho medicamentos que exigem refrigeração constante.,Computador Desktop,Telefone,Dúvida,36,Média
Problema no iPhone 13 - reunião amanhã,O iPhone 13 parou de gelar após a última queda de energia. Tenho remédios importantes armazenados.,iPhone 13,Email,Dúvida,35,Baixa
Samsung Galaxy S23 travado - trabalho parado,Samsung Galaxy S23 emperrado.,Samsung Galaxy S23,Email,Reclamação,32,Alta
Como usar Câmera GoPro Hero,O Câmera GoPro Hero travou durante apresentação importante e não inicializa mais. Tentei todos os procedimentos de recuperação sem sucesso. Todos os meus projetos estão salvos e preciso dos dados.,Câmera GoPro Hero,Chat,Problema Técnico,39,Alta
Reparo: Soundbar Sony,Produto sem sinal.,Soundbar Sony,Email,Solicitação de reembolso,62,Média
Geladeira com vazamento perigoso,Recebi o Geladeira com embalagem completamente avariada. O produto chegou com danos físicos visíveis externos.,Geladeira,Chat,Problema Técnico,26,Urgente
Fogão parou - urgente,Aparelho não liga.,Fogão,Chat,Reclamação,78,Urgente
Soundbar Sony apresenta defeito,Meu Soundbar Sony não reconhece mais nenhum dos acessórios oficiais conectados a ele. Já testei acessórios diferentes e o problema persiste em todos. É minha ferramenta principal de trabalho.,Soundbar Sony,Email,Reclamação,80,Alta
Falha no Soundbar Sony,O Soundbar Sony está superaquecendo e desligando automaticamente após poucos minutos de uso normal.,Soundbar Sony,Email,Reclamação,68,Alta
Defeito no iPhone 14 - home office,O iPhone 14 apresenta vazamento de líquido pelo fundo. Risco de acidente doméstico sério. Preciso de ajuda.,iPhone 14,Email,Solicitação de reembolso,63,Alta
Urgente: Fogão com risco de incêndio,Em apenas três semanas o Fogão já deu problema duas vezes. A primeira vez resolveu sozinho mas agora parou definitivamente. Quero troca imediata ou reembolso total do valor pago.,Fogão,Telefone,Solicitação de reembolso,28,Alta
Fogão 5 Bocas com faísca elétrica,O Fogão 5 Bocas não carrega mais de jeito nenhum. Trabalho em home office e preciso dele urgentemente.,Fogão 5 Bocas,Email,Dúvida,50,Média
Defeito no Soundbar Sony,O Soundbar Sony não sincroniza mais com o aplicativo oficial. Já reinstalei o app várias vezes.,Soundbar Sony,Email,Reclamação,24,Média
Reparo: Smart TV LG 50,O Smart TV LG 50 com botão físico principal travado. Não responde a nenhuma tentativa de acionamento.,Smart TV LG 50,Telefone,Cancelamento,35,Média
Defeito no Smart TV Samsung 55,Meu Smart TV Samsung 55 não reconhece mais nenhum dos acessórios oficiais conectados a ele. Já testei acessórios diferentes e o problema persiste em todos. É minha ferramenta principal de trabalho.,Smart TV Samsung 55,Telefone,Dúvida,47,Média
Notebook Dell XPS não liga - prazo em risco,O Notebook Dell XPS parou de gelar após a última queda de energia. Tenho remédios importantes armazenados.,Notebook Dell XPS,Email,Reclamação,53,Alta
Aspirador Dyson com defeito intermitente,Produto com problema.,Aspirador Dyson,Email,Dúvida,32,Baixa
Problema no Micro-ondas - reunião amanhã,O Micro-ondas desliga sozinho várias vezes por dia sem motivo aparente. Verifiquei a instalação elétrica e o problema é do aparelho. Tentei redefinir para padrão de fábrica sem sucesso.,Micro-ondas,Email,Dúvida,21,Baixa
Smart TV LG 50 com defeito intermitente,O Smart TV LG 50 está com tela totalmente preta mas com som funcionando normalmente. Testei monitor externo mas sem sinal de vídeo algum. É ferramenta de trabalho e estou sem renda.,Smart TV LG 50,Email,Reclamação,33,Média
Assistência Soundbar Sony,O Soundbar Sony apresentou cheiro de queimado forte. Desliguei imediatamente por questão de segurança da família.,Soundbar Sony,Email,Dúvida,78,Baixa
Defeito no Computador Desktop - home office,O Computador Desktop com tela com riscos profundos visíveis. Solicito reparo ou troca em garantia.,Computador Desktop,Telefone,Problema Técnico,50,Urgente
iPhone 13 travado - trabalho parado,Tela piscando forte.,iPhone 13,Telefone,Problema Técnico,67,Urgente
Defeito no Impressora HP,Impressora HP offline.,Impressora HP,Chat,Cancelamento,18,Média
MacBook Air travado - trabalho parado,O MacBook Air apresenta erro crítico na tela desde a última atualização automática de firmware.,MacBook Air,Chat,Solicitação de reembolso,21,Alta
Bebedouro com vazamento perigoso,O Bebedouro com tela completamente preta mas com som funcionando. Possível defeito de placa de vídeo.,Bebedouro,Chat,Solicitação de reembolso,36,Alta
Defeito no iPhone 14 - home office,iPhone 14 com problema.,iPhone 14,Chat,Dúvida,34,Média
Fogão 5 Bocas com vazamento perigoso,O Fogão 5 Bocas parou de gelar após oscilação de energia elétrica. Já aguardei quatro horas para religar conforme orientação mas continua sem gelar. Tenho insulina que exige refrigeração.,Fogão 5 Bocas,Chat,Solicitação de reembolso,20,Alta
Smart TV LG 50 não funciona,O Smart TV LG 50 com tela quebrada após queda leve. É minha principal ferramenta de trabalho profissional.,Smart TV LG 50,Email,Cancelamento,30,Baixa
Reparo: Aspirador Dyson,O Aspirador Dyson com conexão Wi-Fi caindo a cada poucos minutos de uso contínuo.,Aspirador Dyson,Email,Solicitação de reembolso,65,Média
Defeito no Computador Desktop - home office,Em apenas três semanas o Computador Desktop já deu problema duas vezes. A primeira vez resolveu sozinho mas agora parou definitivamente. Quero troca imediata ou reembolso total do valor pago.,Computador Desktop,Email,Reclamação,24,Alta
Smartwatch Garmin com comportamento estranho,O Smartwatch Garmin travou durante apresentação importante e não inicializa mais. Tentei todos os procedimentos de recuperação sem sucesso. Todos os meus projetos estão salvos e preciso dos dados.,Smartwatch Garmin,Telefone,Cancelamento,74,Média
Problemas,produto horrivel,Caixa de Som JBL,Email,Problema Técnico,57,Baixa
Defeito no Aspirador Dyson,O Aspirador Dyson chegou completamente amassado pelos correios com estrutura danificada. Ao ligar pela primeira vez não funciona corretamente. Quero reembolso integral ou troca por produto novo.,Aspirador Dyson,Email,Reclamação,64,Alta
Defeito crítico no Bebedouro,O Bebedouro não reconhece mais nenhum dos acessórios oficiais do fabricante conectados a ele.,Bebedouro,Telefone,Solicitação de reembolso,38,Alta
Como usar Amazon Kindle,Amazon Kindle offline.,Amazon Kindle,Email,Reclamação,77,Média
Defeito,nao ta funcionando,Smartwatch Garmin,Chat,Cancelamento,23,Média
Notebook Lenovo travado - trabalho parado,O Notebook Lenovo não liga após queda leve. Ainda está dentro do prazo de garantia do fabricante.,Notebook Lenovo,Chat,Problema Técnico,48,Alta
Defeito no Caixa de Som JBL,O Caixa de Som JBL com touchscreen sem resposta na parte inferior da tela durante o uso.,Caixa de Som JBL,Email,Dúvida,82,Baixa
Câmera Canon EOS com falha leve,O Câmera Canon EOS parou de gelar após oscilação de energia elétrica. Já aguardei quatro horas para religar conforme orientação mas continua sem gelar. Tenho insulina que exige refrigeração.,Câmera Canon EOS,Chat,Dúvida,73,Baixa
Airfryer Philips apresenta defeito,O Airfryer Philips com bateria descarregando muito mais rápido do que o esperado e prometido.,Airfryer Philips,Email,Reclamação,40,Média
Falha no Roteador Wi-Fi,Roteador Wi-Fi defeituoso.,Roteador Wi-Fi,Email,Solicitação de reembolso,55,Média
MacBook Pro quebrou - sem produtividade,O MacBook Pro não reconhece mais nenhum dos acessórios oficiais do fabricante conectados a ele.,MacBook Pro,Telefone,Solicitação de reembolso,70,Alta
Tablet Samsung com problema técnico,Tablet Samsung reiniciando sempre.,Tablet Samsung,Chat,Dúvida,29,Baixa
Problema,alguem me ajuda,Tablet Samsung,Email,Dúvida,46,Baixa
Assistência Aspirador Dyson,Aspirador Dyson tela preta.,Aspirador Dyson,Chat,Reclamação,74,Alta
Bebedouro causando risco,Fui cobrado indevidamente pela manutenção do Bebedouro que foi cancelada há mais de dois meses.,Bebedouro,Telefone,Cancelamento,18,Alta
Defeito no Caixa de Som JBL,Caixa de Som JBL com problema.,Caixa de Som JBL,Email,Dúvida,77,Baixa
Caixa de Som JBL com problema técnico,O Caixa de Som JBL chegou completamente amassado pelos correios com estrutura danificada. Ao ligar pela primeira vez não funciona corretamente. Quero reembolso integral ou troca por produto novo.,Caixa de Som JBL,Email,Reclamação,41,Média
Problema,quero ajuda agora,iPad Pro,Telefone,Dúvida,66,Média
Amazon Kindle com falha leve,O Amazon Kindle não carrega mais de jeito nenhum. Trabalho em home office e preciso dele urgentemente.,Amazon Kindle,Telefone,Cancelamento,73,Média
Dúvida sobre Amazon Kindle,O Amazon Kindle não funciona em modo automático. Só opera no modo manual agora por algum motivo.,Amazon Kindle,Email,Dúvida,47,Baixa
Garantia do Xbox Series X,O Xbox Series X com consumo de energia absurdamente alto. Minha conta de luz praticamente dobrou.,Xbox Series X,Chat,Problema Técnico,32,Alta
Como usar Controle Xbox,O Controle Xbox travou completamente e não consigo acessar nenhum arquivo importante de trabalho salvo.,Controle Xbox,Email,Cancelamento,34,Baixa
Aspirador Dyson não funciona,O Aspirador Dyson apresenta erro E5 no display e não executa mais nenhuma função disponível.,Aspirador Dyson,Email,Problema Técnico,46,Alta
Suporte: Xbox Series X,Em apenas três semanas o Xbox Series X já deu problema duas vezes. A primeira vez resolveu sozinho mas agora parou definitivamente. Quero troca imediata ou reembolso total do valor pago.,Xbox Series X,Email,Dúvida,63,Baixa
